Komoditas,Tahun,Bulan,Harga
Garam konsumsi,2025,Agustus,"Rp11,663"
Cabai Merah Besar,2025,Agustus,"Rp42,821"
Minyak Kita,2025,Agustus,"Rp17,528"
Daging Kerbau Beku (Impor),2025,Agustus,"Rp105,632"
Daging Kerbau Segar (Lokal),2025,Agustus,"Rp141,410"
Beras SPHP,2025,September,"Rp12,558"
Beras Premium,2025,September,"Rp16,080"
Beras Medium,2025,September,"Rp13,945"
Kedelai Biji Kering,2025,September,"Rp10,730"
Bawang Merah,2025,September,"Rp41,919"
Bawang Putih (Bonggol),2025,September,"Rp37,607"
Cabai Merah Keriting,2025,September,"Rp54,876"
Cabai Rawit Merah,2025,September,"Rp47,269"
Daging Sapi Murni,2025,September,"Rp135,132"
Daging Ayam Ras,2025,September,"Rp37,569"
Telur Ayam Ras,2025,September,"Rp29,778"
Gula Pasir Lokal/Curah,2025,September,"Rp18,151"
Tepung Terigu Curah,2025,September,"Rp9,793"
Tepung Terigu Kemasan,2025,September,"Rp13,023"
Minyak Goreng Kemasan,2025,September,"Rp20,922"
Minyak Goreng Curah,2025,September,"Rp17,542"
Jagung Tk. Peternak,2025,September,"Rp6,656"
Ikan Kembung,2025,September,"Rp41,785"
Ikan Tongkol,2025,September,"Rp34,751"
Ikan Bandeng,2025,September,"Rp35,107"
Garam konsumsi,2025,September,"Rp11,640"
Cabai Merah Besar,2025,September,"Rp47,270"
Minyak Kita,2025,September,"Rp17,499"
Daging Kerbau Beku (Impor),2025,September,"Rp105,687"
Daging Kerbau Segar (Lokal),2025,September,"Rp141,361"
Beras SPHP,2025,Oktober,"Rp12,526"
Beras Premium,2025,Oktober,"Rp15,926"
Beras Medium,2025,Oktober,"Rp13,823"
Kedelai Biji Kering,2025,Oktober,"Rp10,696"
Bawang Merah,2025,Oktober,"Rp38,892"
Bawang Putih (Bonggol),2025,Oktober,"Rp37,132"
Cabai Merah Keriting,2025,Oktober,"Rp56,260"
Cabai Rawit Merah,2025,Oktober,"Rp43,173"
Daging Sapi Murni,2025,Oktober,"Rp135,134"
Daging Ayam Ras,2025,Oktober,"Rp38,037"
Telur Ayam Ras,2025,Oktober,"Rp30,437"
Gula Pasir Lokal/Curah,2025,Oktober,"Rp18,051"
Tepung Terigu Curah,2025,Oktober,"Rp9,790"
Tepung Terigu Kemasan,2025,Oktober,"Rp13,025"
Minyak Goreng Kemasan,2025,Oktober,"Rp20,956"
Minyak Goreng Curah,2025,Oktober,"Rp17,510"
Jagung Tk. Peternak,2025,Oktober,"Rp6,699"
Ikan Kembung,2025,Oktober,"Rp41,852"
Ikan Tongkol,2025,Oktober,"Rp34,736"
Ikan Bandeng,2025,Oktober,"Rp35,173"
Garam konsumsi,2025,Oktober,"Rp11,624"
Cabai Merah Besar,2025,Oktober,"Rp49,224"
Minyak Kita,2025,Oktober,"Rp17,494"
Daging Kerbau Beku (Impor),2025,Oktober,"Rp105,899"
Daging Kerbau Segar (Lokal),2025,Oktober,"Rp140,865"
Beras SPHP,2025,November,"Rp12,471"
Beras Premium,2025,November,"Rp15,572"
Beras Medium,2025,November,"Rp13,564"
Kedelai Biji Kering,2025,November,"Rp10,705"
Bawang Merah,2025,November,"Rp39,873"
Bawang Putih (Bonggol),2025,November,"Rp36,829"
Cabai Merah Keriting,2025,November,"Rp53,794"
Cabai Rawit Merah,2025,November,"Rp41,694"
Daging Sapi Murni,2025,November,"Rp135,170"
Daging Ayam Ras,2025,November,"Rp37,628"
Telur Ayam Ras,2025,November,"Rp30,525"
Gula Pasir Lokal/Curah,2025,November,"Rp17,993"
Tepung Terigu Curah,2025,November,"Rp9,744"
Tepung Terigu Kemasan,2025,November,"Rp12,973"
Minyak Goreng Kemasan,2025,November,"Rp20,939"
Minyak Goreng Curah,2025,November,"Rp17,502"
Jagung Tk. Peternak,2025,November,"Rp6,835"
Ikan Kembung,2025,November,"Rp42,650"
Ikan Tongkol,2025,November,"Rp35,051"
Ikan Bandeng,2025,November,"Rp35,424"
Garam konsumsi,2025,November,"Rp11,551"
Cabai Merah Besar,2025,November,"Rp52,571"
Minyak Kita,2025,November,"Rp17,475"
Daging Kerbau Beku (Impor),2025,November,"Rp105,914"
Daging Kerbau Segar (Lokal),2025,November,"Rp140,891"
Beras SPHP,2025,Desember,"Rp12,453"
Beras Premium,2025,Desember,"Rp15,549"
Beras Medium,2025,Desember,"Rp13,540"
Kedelai Biji Kering,2025,Desember,"Rp10,776"
Bawang Merah,2025,Desember,"Rp47,236"
Bawang Putih (Bonggol),2025,Desember,"Rp37,823"
Cabai Merah Keriting,2025,Desember,"Rp57,503"
Cabai Rawit Merah,2025,Desember,"Rp67,666"
Daging Sapi Murni,2025,Desember,"Rp135,300"
Daging Ayam Ras,2025,Desember,"Rp39,810"
Telur Ayam Ras,2025,Desember,"Rp31,390"
Gula Pasir Lokal/Curah,2025,Desember,"Rp18,044"
Tepung Terigu Curah,2025,Desember,"Rp9,722"
Tepung Terigu Kemasan,2025,Desember,"Rp12,924"
Minyak Goreng Kemasan,2025,Desember,"Rp20,957"
Minyak Goreng Curah,2025,Desember,"Rp17,640"
Jagung Tk. Peternak,2025,Desember,"Rp6,937"
Ikan Kembung,2025,Desember,"Rp43,216"
Ikan Tongkol,2025,Desember,"Rp35,536"
Ikan Bandeng,2025,Desember,"Rp35,780"
Garam konsumsi,2025,Desember,"Rp11,503"
Cabai Merah Besar,2025,Desember,"Rp52,147"
Minyak Kita,2025,Desember,"Rp17,571"
Daging Kerbau Beku (Impor),2025,Desember,"Rp106,764"
Daging Kerbau Segar (Lokal),2025,Desember,"Rp140,557"
