tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
17/ 05/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","34,600","34,600","117,350","120,850","112,250","25,950","25,950","36,300","36,300","49,050","49,050","37,000","39,450","35,200","39,000","35,950","41,300","13,250","11,350","14,400","13,700","13,800","14,950","12,900"
20/ 05/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","34,200","34,200","117,300","120,800","112,100","26,000","26,000","35,450","35,450","45,200","45,200","36,800","38,800","35,000","40,350","37,250","42,650","13,150","11,300","14,250","13,600","13,800","14,950","12,950"
21/ 05/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","34,100","34,100","117,250","120,700","112,150","25,900","25,900","35,500","35,500","44,550","44,550","36,350","38,550","34,550","40,000","37,100","42,300","13,150","11,250","14,250","13,600","13,850","15,000","12,950"
22/ 05/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","34,100","34,100","117,300","120,800","112,150","25,900","25,900","35,350","35,350","43,550","43,550","36,000","37,850","34,450","39,250","36,550","41,450","13,150","11,250","14,250","13,600","13,850","15,000","12,950"
23/ 05/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","34,150","34,150","117,400","120,950","112,250","25,900","25,900","35,200","35,200","42,500","42,500","36,250","38,150","34,800","38,850","36,300","40,600","13,150","11,250","14,250","13,600","13,850","15,000","13,000"
24/ 05/ 2019,"11,700","10,600","10,250","11,750","11,500","13,000","12,600","34,250","34,250","117,350","120,900","112,250","25,850","25,850","35,250","35,250","41,950","41,950","36,500","38,350","34,900","38,850","36,250","40,850","13,150","11,250","14,300","13,600","13,850","15,000","13,000"
27/ 05/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","34,650","34,650","117,600","121,150","112,400","25,750","25,750","35,450","35,450","41,350","41,350","38,400","40,000","36,700","39,100","37,000","41,300","13,150","11,250","14,300","13,600","13,850","15,000","13,000"
28/ 05/ 2019,"11,650","10,600","10,250","11,650","11,450","13,000","12,600","34,700","34,700","118,100","121,750","112,850","25,400","25,400","35,600","35,600","41,050","41,050","39,150","41,050","37,400","38,700","36,850","40,800","13,050","11,200","14,200","13,550","13,850","14,950","13,000"
29/ 05/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","35,200","35,200","118,300","122,100","112,650","25,650","25,650","35,950","35,950","41,550","41,550","40,500","42,550","38,750","39,550","37,850","41,150","13,200","11,300","14,400","13,700","13,900","15,050","13,000"
30/ 05/ 2019,"11,400","10,500","10,000","12,000","11,000","12,750","12,250","35,000","35,000","115,000","120,000","110,000","23,000","23,000","25,000","25,000","37,500","37,500","30,000","35,000","25,000","21,250","22,500","20,000","12,100","10,500","13,000","12,750","13,250","14,000","12,500"
31/ 05/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,550","35,800","35,800","119,350","122,900","113,700","25,700","25,700","36,650","36,650","41,450","41,450","44,050","46,000","42,200","39,150","37,750","40,350","13,150","11,250","14,300","13,600","13,900","15,050","13,000"
